"NTDETAILCODE","FDCODE","SEQ","NTCODE","AMOUNT","UNIT"
163,6,13,11,2,g
164,6,14,12,0,g
165,6,15,13,0,g
166,6,16,14,0,g
167,6,17,15,79,g
168,6,18,16,0,g
169,6,19,17,7,g
170,6,20,18,0.07,g
228,9,3,3,33.61,g
229,9,4,4,2.2,g
230,9,5,5,8.53,g
231,9,6,23,0,g
232,9,7,24,0.82,g
233,9,8,6,8,g
234,9,9,7,29,g
235,9,10,8,12,g
236,9,11,9,397,g
237,9,12,10,92,g
238,9,13,11,0,g
239,9,14,12,0,g
240,9,15,13,0,g
241,9,16,14,0,g
242,9,17,15,0,g
243,9,18,16,0,g
244,9,19,17,0,g
245,9,20,18,0,g
246,9,21,19,0,g
247,9,22,20,0,g
248,9,23,21,0,g
249,9,24,22,0,g
250,9,25,25,0,g
251,10,1,1,190,kcal
252,10,2,2,61.3,g
253,10,3,3,10.89,g
254,10,4,4,8.47,g
255,10,5,5,14.54,g
256,10,6,23,0,g
257,10,7,24,1.84,g
258,10,8,6,11,g
259,10,9,7,85,g
260,10,10,8,25,g
261,10,11,9,974,g
262,10,12,10,133,g
263,10,13,11,0,g
264,10,14,12,0,g
265,10,15,13,0,g
266,10,16,14,0,g
267,10,17,15,0,g
268,10,18,16,0,g
269,10,19,17,0,g
270,10,20,18,0,g
271,10,21,19,0,g
272,10,22,20,0,g
273,10,23,21,0,g
274,10,24,22,0,g
275,10,25,25,0,g
171,6,21,19,0.76,g
